col.name;condition;rep;file;sample;condition.orig;norm_group;ctrl;ID;ctrl.ID
channel_132C;negcontrol_C;rep1;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_negcontrol;all;negcontrol_C;PT1_negcontrol_C_rep1;PT1_negcontrol_C_rep1
channel_133N;negcontrol_C;rep2;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_negcontrol;all;negcontrol_C;PT1_negcontrol_C_rep2;PT1_negcontrol_C_rep2
channel_133C;negcontrol_C;rep3;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_negcontrol;all;negcontrol_C;PT1_negcontrol_C_rep3;PT1_negcontrol_C_rep3
channel_131N;intracellular_C;rep1;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_intracellular;all;negcontrol_C;PT1_intracellular_C_rep1;PT1_negcontrol_C_rep1
channel_131C;intracellular_C;rep2;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_intracellular;all;negcontrol_C;PT1_intracellular_C_rep2;PT1_negcontrol_C_rep2
channel_132N;intracellular_C;rep3;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_intracellular;all;negcontrol_C;PT1_intracellular_C_rep3;PT1_negcontrol_C_rep3
channel_129C;extracellular_C;rep1;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_extracellular;all;negcontrol_C;PT1_extracellular_C_rep1;PT1_negcontrol_C_rep1
channel_130N;extracellular_C;rep2;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_extracellular;all;negcontrol_C;PT1_extracellular_C_rep2;PT1_negcontrol_C_rep2
channel_130C;extracellular_C;rep3;P4012_Set1_fractionated_protein.tsv;PT1;PT1C_extracellular;all;negcontrol_C;PT1_extracellular_C_rep3;PT1_negcontrol_C_rep3
channel_128N;negcontrol;rep1;P4012_Set1_fractionated_protein.tsv;PT1;PT1_negcontrol;all;negcontrol;PT1_negcontrol_rep1;PT1_negcontrol_rep1
channel_128C;negcontrol;rep2;P4012_Set1_fractionated_protein.tsv;PT1;PT1_negcontrol;all;negcontrol;PT1_negcontrol_rep2;PT1_negcontrol_rep2
channel_129N;negcontrol;rep3;P4012_Set1_fractionated_protein.tsv;PT1;PT1_negcontrol;all;negcontrol;PT1_negcontrol_rep3;PT1_negcontrol_rep3
channel_126;extracellular;rep1;P4012_Set1_fractionated_protein.tsv;PT1;PT1_extracellular;all;negcontrol;PT1_extracellular_rep1;PT1_negcontrol_rep1
channel_127N;extracellular;rep2;P4012_Set1_fractionated_protein.tsv;PT1;PT1_extracellular;all;negcontrol;PT1_extracellular_rep2;PT1_negcontrol_rep2
channel_127C;extracellular;rep3;P4012_Set1_fractionated_protein.tsv;PT1;PT1_extracellular;all;negcontrol;PT1_extracellular_rep3;PT1_negcontrol_rep3
